species,family
Acer campestre,Sapindaceae
Acer davidii,Sapindaceae
Acer fabri,Sapindaceae
Acer negundo,Sapindaceae
Acer platanoides,Sapindaceae
Acer pseudoplatanus,Sapindaceae
Acer rubrum,Sapindaceae
Acer saccharum,Sapindaceae
Acer tataricum,Sapindaceae
Achillea millefolium,Asteraceae
Achyranthes aspera,Amaranthaceae
Acronychia pedunculata,Rutaceae
Aesculus hippocastanum,Sapindaceae
Aesculus parviflora,Sapindaceae
Ageratina aromatica,Asteraceae
Agrostis capillaris,Poaceae
Agrostis stolonifera,Poaceae
Ajuga reptans,Lamiaceae
Alangium chinense,Cornaceae
Alchemilla mollis,Rosaceae
Alniphyllum fortunei,Styracaceae
Alopecurus pratensis,Poaceae
Alseis blackiana,Rubiaceae
Alstonia scholaris,Apocynaceae
Andropogon gerardii,Poaceae
Anthemis tinctoria,Asteraceae
Anthoxanthum odoratum,Poaceae
Anthriscus sylvestris,Apiaceae
Anthyllis vulneraria,Fabaceae
Antidesma maclurei,Phyllanthaceae
Aporosa yunnanensis,Phyllanthaceae
Aquilegia canadensis,Ranunculaceae
Arrhenatherum elatius,Poaceae
Artemisia campestris,Asteraceae
Artemisia frigida,Asteraceae
Artocarpus styracifolius,Moraceae
Asclepias syriaca,Apocynaceae
Asimina triloba,Annonaceae
Aurinia saxatilis,Brassicaceae
Barringtonia racemosa,Lecythidaceae
Bellis perennis,Asteraceae
Berberis thunbergii,Berberidaceae
Biophytum umbraculum,Oxalidaceae
Brachypodium phoenicoides,Poaceae
Brachypodium pinnatum,Poaceae
Brachypodium sylvaticum,Poaceae
Brassica nigra,Brassicaceae
Briza media,Poaceae
Bromus catharticus,Poaceae
Bromus erectus,Poaceae
Bromus hordeaceus,Poaceae
Bromus inermis,Poaceae
Bromus madritensis,Poaceae
Caltha palustris,Ranunculaceae
Campanula rotundifolia,Campanulaceae
Campsis radicans,Bignoniaceae
Carallia brachiata,Rhizophoraceae
Carex humilis,Cyperaceae
Carex lasiocarpa,Cyperaceae
Carex otrubae,Cyperaceae
Carum carvi,Apiaceae
Catalpa bignonioides,Bignoniaceae
Catunaregam spinosa,Rubiaceae
Celtis sinensis,Cannabaceae
Centaurea jacea,Asteraceae
